id_no,binomial,category
5667,Crocodylus palustris,VU
5668,Crocodylus porosus,LR/lc
15199,Oligodon nikhili,DD
164579,Varanus bengalensis,LC
164640,Pseudocerastes persicus,LC
164673,Boiga trigonata,LC
164701,Oligodon taeniolatus,LC
170381,Calotes ellioti,LC
170420,Psammophilus dorsalis,LC
172582,Calotes rouxii,LC
172584,Ristella travancorica,DD
172586,Xylophis stenorhynchus,DD
172588,Kaestlea palnica,DD
172589,Ahaetulla dispar,NT
172590,Coronella brachyura,LC
172592,Cnemaspis indraneildasii,VU
172595,Gerrhopilus tindalli,DD
172597,Cnemaspis littoralis,DD
172598,Grypotyphlops acutus,LC
172599,Eutropis clivicola,EN
172600,Hemidactylus anamallensis,NT
172601,Xylophis captaini,LC
172602,Calotes grandisquamis,LC
172603,Cnemaspis sisparensis,NT
172604,Psammophilus blanfordanus,LC
172605,Plectrurus guentheri,DD
172607,Oligodon brevicauda,VU
172610,Kaestlea bilineata,LC
172611,Brachyophidium rhodogaster,LC
172612,Melanophidium bilineatum,VU
172613,Rhinophis sanguineus,LC
172614,Geckoella deccanensis,LC
172615,Calliophis beddomei,DD
172616,Cnemaspis heteropholis,NT
172617,Melanophidium punctatum,LC
172619,Cnemaspis nairi,NT
172621,Uropeltis dindigalensis,DD
172622,Uropeltis phipsonii,VU
172623,Peltopelor macrolepis,NT
172624,Lygosoma guentheri,LC
172625,Draco dussumieri,LC
172627,Eutropis gansi,DD
172628,Amphiesma beddomei,LC
172629,Dasia subcaerulea,EN
172630,Cnemaspis jerdonii,VU
172632,Xylophis perroteti,LC
172633,Amphiesma monticola,LC
172634,Uropeltis liura,DD
172635,Lycodon flavomaculatus,LC
172636,Cnemaspis goaensis,EN
172637,Uropeltis myhendrae,DD
172638,Hemidactylus prashadi,LC
172639,Plectrurus aureus,DD
172640,Cnemaspis beddomei,DD
172642,Plectrurus canaricus,DD
172643,Lycodon travancoricus,LC
172648,Cnemaspis wynadensis,EN
172649,Rhabdops olivaceus,LC
172650,Ristella beddomii,LC
172654,Ahaetulla perroteti,EN
172655,Trimeresurus strigatus,LC
172658,Lygosoma lineata,LC
172659,Uropeltis macrolepis,LC
172662,Cnemaspis ornata,NT
172664,Typhlops exiguus,DD
172666,Hemidactylus maculatus,LC
172667,Uropeltis macrorhynchus,DD
172670,Uropeltis rubrolineatus,LC
172674,Boiga dightoni,DD
172675,Calotes aurantolabium,DD
172678,Gerrhopilus beddomii,DD
172680,Cnemaspis indica,VU
172681,Rhinophis travancoricus,EN
172683,Eublepharis fuscus,LC
172686,Kaestlea beddomei,LC
172687,Ahaetulla pulverulenta,LC
172688,Psammophis longifrons,LC
172691,Uropeltis broughami,DD
172692,Coluber gracilis,DD
172693,Plectrurus perroteti,LC
172694,Uropeltis beddomii,DD
172695,Calliophis nigrescens,LC
172696,Uropeltis ceylanicus,LC
172699,Uropeltis maculatus,DD
172700,Oligodon travancoricus,DD
172701,Hemidactylus giganteus,LC
172706,Eurylepis poonaensis,EN
172708,Trimeresurus malabaricus,LC
172709,Teretrurus sanguineus,LC
172711,Uropeltis nitidus,DD
172713,Hemidactylus reticulatus,LC
172714,Uropeltis ellioti,LC
172715,Typhlops thurstoni,DD
172717,Geckoella collegalensis,LC
173021,Otocryptis beddomii,EN
174089,Salea horsfieldii,LC
174133,Ristella rurkii,DD
174134,Kaestlea travancorica,LC
176130,Hemidactylus frenatus,LC
176220,Sitana ponticeriana,LC
176619,Boiga beddomei,DD
176621,Boiga forsteni,LC
176670,Gerarda prevostiana,LC
176680,Cerberus rynchops,LC
176702,Enhydris dussumieri,LC
176708,Astrotia stokesii,LC
176711,Thalassophina viperina,LC
176713,Hydrophis cantoris,DD
176715,Hydrophis caerulescens,LC
176717,Hydrophis spiralis,LC
176719,Enhydrina schistosa,LC
176724,Hydrophis mamillaris,DD
176726,Hydrophis cyanocinctus,LC
176737,Hydrophis ornatus,LC
176738,Pelamis platura,LC
176741,Hydrophis lapemoides,LC
176746,Lapemis curtus,LC
176765,Hydrophis gracilis,LC
176769,Acrochordus granulatus,LC
176781,Dendrelaphis bifrenalis,LC
176785,Dendrelaphis grandoculis,LC
177408,Oligodon affinis,LC
177540,Ophiophagus hannah,VU
177549,Calliophis bibroni,LC
177551,Dryocalamus gracilis,DD
177823,Hemiphyllodactylus aurantiacus,LC
178233,Uropeltis ocellatus,LC
178234,Rhinophis fergusonianus,DD
178245,Trimeresurus gramineus,LC
178298,Uropeltis petersi,DD
178362,Platyplectrurus trilineatus,DD
178375,Uropeltis woodmasoni,LC
178411,Uropeltis smithi,NT
178420,Platyplectrurus madurensis,EN
178455,Uropeltis arcticeps,LC
178483,Uropeltis rubromaculatus,LC
178550,Eutropis bibronii,LC
178566,Cnemaspis anaikattiensis,CR
178621,Eutropis carinata,LC
178682,Melanophidium wynaudense,LC
178709,Sphenomorphus dussumieri,LC
178729,Uropeltis pulneyensis,LC
194083,Calotes nemoricola,LC
194084,Salea anamallayana,LC
194093,Cnemaspis australis,DD
194094,Cnemaspis gracilis,LC
194095,Cnemaspis monticola,DD
194096,Cnemaspis mysoriensis,LC
194097,Cnemaspis nilagirica,DD
194099,Geckoella albofasciatus,LC
194103,Hemidactylus aaronbaueri,LC
194104,Hemidactylus albofasciatus,VU
194108,Hemidactylus gracilis,LC
194111,Hemidactylus sataraensis,VU
194115,Eutropis allapallensis,LC
194117,Eutropis trivittata,LC
194121,Lygosoma goaensis,DD
194123,Ristella guentheri,DD
194267,Hemidactylus graniticolus,LC
194827,Uropeltis bicatenata,NT
194834,Kaestlea laterimaculata,VU
194916,Dendrelaphis chairecacos,DD
194917,Oligodon venustus,LC
196006,Dendrelaphis ashoki,LC
42492034,Dendrelaphis girii,LC
